qstamp,tstamp,measure,beat,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,C Clarinet 1,C Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,C Trumpet 1,C Trumpet 2,Alto Trombone,Tenor Trombone,Bass Trombone,"C, G Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,C6,C6,C6,C5,E4,C5,E4,C3,C3,C2,C4,E3,C5,E4,C5,E4,C3,C3,E6,C6,C4,C3,C2
2.0,0.7143,1,3.0,E6,E6,E6,E5,C5,E5,C5,E3,E3,C2,E4,C4,E5,C5,E4,C4,C3,C3,E5,E5,C4,C3,C2
4.0,1.4286,2,1.0,G6,G6,E6,G5,E5,G5,E5,G3,E3,C2,G4,E4,G5,E5,G4,E4,C3,C3,G5,G5,C4,C3,C2
7.0,2.5,2,4.0,F6,F6,D6,F5,D5,F5,D5,F3,D3,G1,F4,D4,F5,D5,G4,D4,G2,G2,F5,F5,B3,G2,G1
8.0,2.8571,3,1.0,E6,E6,C6,E5,C5,E5,C5,E3,C3,C2,E4,C4,E5,C5,E4,C4,C3,C3,E5,E5,C4,C3,C2
9.0,3.2143,3,2.0,D6,D6,B5,D5,G4,D5,G4,D3,G2,G1,D4,G3,D5,G4,D4,F3,G2,G2,D5,D5,B3,G2,G1
10.0,3.5714,3,3.0,C6,C6,C6,C5,E4,C5,E4,C3,C3,C2,C4,E3,C5,E4,C4,E3,C3,C3,C5,C5,C4,C2,C2
11.0,3.9286,3,4.0,D6,D6,B5,D5,G4,D5,G4,D3,G2,G1,D4,G3,D5,G4,D4,F3,G2,G2,D5,D5,B3,G2,G1
12.0,4.2857,4,1.0,C6,C6,E5,C5,E4,C5,E4,C3,C3,C2,C4,E3,C5,E4,C4,E3,C3,C3,C5,C5,E3,C2,C2
12.25,4.375,4,1.25,C6,C6,E5,C5,E4,C5,E4,C3,C3,C2,C4,E3,C5,E4,C4,E3,C3,C3,C5,C4,E3,C2,C2
12.5,4.4643,4,1.5,C6,C6,E5,C5,E4,C5,E4,C3,C3,C2,C4,E3,C5,E4,C4,E3,C3,C3,C5,C4,E3,C2,C2
12.75,4.5536,4,1.75,C6,C6,E5,C5,E4,C5,E4,C3,C3,C2,C4,E3,C5,E4,C4,E3,C3,C3,C5,C4,E3,C2,C2
13.0,4.6429,4,2.0,C6,C6,E5,C5,E4,C5,E4,C3,C3,C2,C4,E3,C5,E4,C4,E3,C3,r,C5,C4,E3,C2,C2
